"x","y","band7","band5","band3","class"
371370,-180090,0.228478386998177,0.226048737764359,0.0903686359524727,bekas_terbakar
371160,-180510,0.226732820272446,0.224609851837158,0.094921387732029,bekas_terbakar
371160,-180600,0.226685658097267,0.224208831787109,0.092586025595665,bekas_terbakar
371160,-180570,0.226402595639229,0.228030204772949,0.0957706049084663,bekas_terbakar
371430,-180180,0.22602516412735,0.222699195146561,0.0876558721065521,bekas_terbakar
371190,-180570,0.22578926384449,0.220764949917793,0.0915009304881096,bekas_terbakar
371010,-180780,0.225600585341454,0.227133810520172,0.0981531143188477,bekas_terbakar
371430,-180210,0.225411862134933,0.21755687892437,0.0841646790504456,bekas_terbakar
371310,-180120,0.224704205989838,0.224067330360413,0.0982474684715271,bekas_terbakar
371310,-180060,0.224326804280281,0.221637710928917,0.0925152748823166,bekas_terbakar
371250,-180360,0.224020153284073,0.224609851837158,0.0943788215517998,bekas_terbakar
371400,-180210,0.223996564745903,0.222085908055305,0.0870425552129745,bekas_terbakar
371430,-180060,0.223878607153893,0.214655518531799,0.0831739157438278,bekas_terbakar
371190,-180600,0.223170965909958,0.220835700631142,0.0904630273580551,bekas_terbakar
371310,-180090,0.222793534398079,0.227039471268654,0.0950629338622093,bekas_terbakar
371370,-180120,0.222416132688522,0.221920773386955,0.0894722640514374,bekas_terbakar
371400,-180090,0.222368970513344,0.216188743710518,0.0846600383520126,bekas_terbakar
371160,-180540,0.22234533727169,0.216448217630386,0.0918547585606575,bekas_terbakar
371340,-180000,0.221920773386955,0.21970346570015,0.0866651311516762,bekas_terbakar
371160,-180480,0.221826434135437,0.226638481020927,0.0926804021000862,bekas_terbakar
371220,-180570,0.221708461642265,0.218335300683975,0.0885050892829895,bekas_terbakar
371340,-180060,0.221496164798737,0.217037960886955,0.0890004634857178,bekas_terbakar
371430,-180150,0.221378237009048,0.215787753462791,0.083409808576107,bekas_terbakar
371400,-180060,0.220741331577301,0.218146622180939,0.0836693048477173,bekas_terbakar
371430,-180000,0.220599815249443,0.219679847359657,0.0858866944909096,bekas_terbakar
371220,-180480,0.220576226711273,0.215976476669312,0.0883635804057121,bekas_terbakar
371340,-180120,0.220387503504753,0.219632670283318,0.0910763368010521,bekas_terbakar
371220,-180750,0.220293164253235,0.212273076176643,0.0836928859353065,bekas_terbakar
371340,-180180,0.220104455947876,0.217321023344994,0.0923029780387878,bekas_terbakar
371070,-180360,0.220010101795197,0.219679847359657,0.0899204462766647,bekas_terbakar
371310,-180180,0.21970346570015,0.219019383192062,0.093529611825943,bekas_terbakar
371400,-180120,0.219609081745148,0.21750970184803,0.082537017762661,bekas_terbakar
371070,-180780,0.219538331031799,0.216613352298737,0.0914065763354301,bekas_terbakar
371250,-179820,0.219373196363449,0.214018613100052,0.0861697569489479,bekas_terbakar
371130,-180480,0.219302445650101,0.22095362842083,0.0933408811688423,bekas_terbakar
371130,-180510,0.21913731098175,0.217580497264862,0.09183119982481,bekas_terbakar
371190,-180510,0.219113722443581,0.215457528829575,0.0896845608949661,bekas_terbakar
371430,-180030,0.219090133905411,0.221331059932709,0.0845185220241547,bekas_terbakar
371070,-180840,0.218995794653893,0.219892144203186,0.0933173149824142,bekas_terbakar
371220,-180360,0.218854248523712,0.216684103012085,0.090415820479393,bekas_terbakar
371370,-180210,0.218689143657684,0.22253406047821,0.0901327505707741,bekas_terbakar
371460,-180060,0.218476846814156,0.215268805623055,0.083622120320797,bekas_terbakar
371220,-180600,0.218358889222145,0.21755687892437,0.0873020440340042,bekas_terbakar
371040,-180210,0.218075826764107,0.216141581535339,0.0905573591589928,bekas_terbakar
371220,-180510,0.217792764306068,0.215056508779526,0.0880097076296806,bekas_terbakar
371130,-180180,0.217391774058342,0.218830659985542,0.0900384038686752,bekas_terbakar
371220,-180690,0.217344611883163,0.215599045157433,0.089024044573307,bekas_terbakar
